Source,Target,Type,Id,Label,Weight
84,96,Directed,112,,0.006003
84,97,Directed,113,,0.000405
84,98,Directed,114,,0.000235
84,99,Directed,115,,0.000458
84,100,Directed,116,,0.000117
84,101,Directed,117,,0.0041
84,102,Directed,118,,0.001174
84,103,Directed,119,,0.000288
84,104,Directed,120,,0.010679
84,84,Directed,121,,61.554021
84,345,Directed,122,,0.000288
84,346,Directed,123,,0.000587
84,347,Directed,124,,0.001155
84,348,Directed,125,,0.000587
84,349,Directed,126,,0.017022
84,350,Directed,127,,0.000387
84,351,Directed,128,,0.002674
84,352,Directed,129,,0.003493
84,353,Directed,130,,0.001408
84,354,Directed,131,,0.000456
84,355,Directed,132,,0.002582
84,356,Directed,133,,0.001467
84,357,Directed,134,,0.000235
84,358,Directed,135,,0.00039
84,359,Directed,136,,0.000631
84,360,Directed,137,,0.000254
84,361,Directed,138,,0.00115
84,362,Directed,139,,0.003815
84,363,Directed,140,,0.000352
84,364,Directed,141,,0.000122
84,367,Directed,142,,0.000939
84,368,Directed,143,,0.006209
84,369,Directed,144,,0.001277
84,370,Directed,145,,0.002347
84,371,Directed,146,,0.000658
84,372,Directed,147,,0.000587
84,373,Directed,148,,0.000618
84,374,Directed,149,,0.0076
84,375,Directed,150,,0.000587
84,376,Directed,151,,0.000528
84,377,Directed,152,,0.0001
84,378,Directed,153,,0.000343
84,379,Directed,154,,0.006161
84,380,Directed,155,,0.001149
84,381,Directed,156,,0.0024
84,382,Directed,157,,0.001241
84,383,Directed,158,,0.000227
84,384,Directed,159,,0.000227
84,385,Directed,160,,0.000356
84,386,Directed,161,,0.000346
84,427,Directed,162,,0.058642
84,428,Directed,163,,0.01
84,429,Directed,164,,0.000076
84,430,Directed,165,,0.000352
84,431,Directed,166,,0.000176
84,432,Directed,167,,0.000065
84,433,Directed,168,,0.056316
84,434,Directed,169,,0.001173
84,435,Directed,170,,0.004703
84,436,Directed,171,,0.002372
84,437,Directed,172,,0.004048
84,438,Directed,173,,0.000211
84,439,Directed,174,,0.000927
84,440,Directed,175,,0.00006
84,441,Directed,176,,0.012904
84,442,Directed,177,,0.000197
84,443,Directed,178,,0.002009
84,444,Directed,179,,0.002347
84,445,Directed,180,,0.000111
84,446,Directed,181,,0.000587
84,447,Directed,182,,0.0117
84,448,Directed,183,,0.00236
84,449,Directed,184,,0.000578
84,450,Directed,185,,0.001162
84,451,Directed,186,,0.000123
84,452,Directed,187,,0.029354
84,453,Directed,188,,0.000193
84,454,Directed,189,,0.000235
84,455,Directed,190,,0.00822
84,456,Directed,191,,0.001174
84,457,Directed,192,,0.000235
84,458,Directed,193,,0.000035
84,459,Directed,194,,0.0587
84,460,Directed,195,,0.000464
84,461,Directed,196,,0.00074
84,462,Directed,197,,0.001736
84,463,Directed,198,,0.005613
84,464,Directed,199,,0.000222
84,465,Directed,200,,0.011157
84,780,Directed,201,,0.000012
84,781,Directed,202,,0.005871
84,782,Directed,203,,0.003614
84,783,Directed,204,,0.001208
84,784,Directed,205,,0.000294
84,785,Directed,206,,0.000247
84,786,Directed,207,,0.000459
84,787,Directed,208,,0.002231
84,788,Directed,209,,0.000135
84,789,Directed,210,,0.003496
84,790,Directed,211,,0.011649
84,791,Directed,212,,0.00024
84,792,Directed,213,,0.002941
84,793,Directed,214,,0.001136
84,794,Directed,215,,0.000579
84,795,Directed,216,,0.000246
84,796,Directed,217,,0.000305
84,797,Directed,218,,0.00044
84,798,Directed,219,,0.054018
84,1032,Directed,220,,0.000329
84,1033,Directed,221,,0.000688
84,1034,Directed,222,,0.049331
84,1035,Directed,223,,0.003287
84,1036,Directed,224,,0.004908
84,1037,Directed,225,,0.001174
84,1038,Directed,226,,0.0587
84,1039,Directed,227,,0.000587
84,1040,Directed,228,,0.000284
84,1041,Directed,229,,0.001763
84,1042,Directed,230,,0.000406
84,1043,Directed,231,,0.000235
84,1044,Directed,232,,0.006931
84,1045,Directed,233,,0.000293
84,1046,Directed,234,,0.000353
84,1047,Directed,235,,0.000168
84,1048,Directed,236,,0.000228
84,1049,Directed,237,,0.002349
84,1050,Directed,238,,0.00032
84,1051,Directed,239,,0.00587
84,1052,Directed,240,,0.001063
84,1053,Directed,241,,0.000112
84,1054,Directed,242,,0.000998
84,1055,Directed,243,,0.00135
84,1056,Directed,244,,0.000022
84,1057,Directed,245,,0.002959
84,1058,Directed,246,,0.000524
84,1059,Directed,247,,0.003104
84,1060,Directed,248,,0.000279
84,1061,Directed,249,,0.001805
84,1062,Directed,250,,0.00017
84,1063,Directed,251,,0.000017
84,1064,Directed,252,,0.00115
84,1065,Directed,253,,0.000229
84,1066,Directed,254,,0.002013
84,1067,Directed,255,,0.000294
84,1068,Directed,256,,0.000587
84,1069,Directed,257,,0.009404
84,1073,Directed,258,,0.000871
84,1074,Directed,259,,0.005889
